username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
CocoCrawlt,autism,112,6,14534,203,10157,4377,94,109
nayata,autism,94,161,41976,9891,40136,1840,8715,1176
treejadey,autism,49,81,20263,25031,12618,7645,21415,3616
heliamagnan,autism,20,11,9959970,9943,5006708,4953262,8822,1121
mads-mikkel,autism,124,27,73085,4633,71190,1895,4559,74
rongmou1994,asd,111,101,149475,63407,114655,34820,42841,20566
Maurihongn,asd,24,14,8350,30981,7172,1178,23661,7320
nengmyun,asd,1056,79,101124,52569,67298,33826,27320,25249
Folless20cm,asd,12,18,1486,1949,1117,369,1905,44
adam323232,asd,37,107,914762,3084718,913463,1299,2325913,758805
ZhiHongNg,asd,45,26,114237,42580,113377,860,23061,19519
humbertoafk,asd,11,5,721041,14408,720974,67,14055,353
Alejandro-Meren,asd,155,125,281043,50687,174406,106637,46045,4642
DevelopingNick,asd,82,18,41592,28252,38171,3421,26090,2162
fatfat666,asd,122,84,20016,40435,11763,8253,21047,19388
maxim0x2828,asd,109,74,1048267,153368,642121,406146,78830,74538
owaisfarooq,asd,14,43,106017,1192646,16257,89760,32010,1160636
lebaoworks,asd,64,8,30024,27736,17410,12614,17063,10673
korteszedo,asd,57,56,4099,1512925,3171,928,1510840,2085
ignxrxnt0330,asd,65,166,22056,13221,19880,2176,8337,4884
asdtiwari,asd,123,56,50798,42981,35378,15420,35939,7042
Anuragcpp,asd,150,57,42517,17942,40120,2397,17456,486
