username,keyword,commits_before,commits_after,net_lines_before,net_lines_after,lines_added_before,lines_removed_before,lines_added_after,lines_removed_after
Amirabbas-Alvandian,add,14,1,1396,2,1394,2,2,0
Rodrigo-jsx,add,2,56,38,3894,37,1,3519,375
lilamargo,add,7,0,3701,0,3697,4,0,0
pawpilledx,add,271,206,3804,6597,2912,892,2902,3695
jayminpanchal,add,74,2,14720,16420,14275,445,16363,57
birbmaaan,add,3,0,6,0,3,3,0,0
amisha004,add,2,0,17939,0,17939,0,0,0
SiggiSmara,add,41,129,10577,242008,7962,2615,236257,5751
sburbgum,add,1,0,11,0,11,0,0,0
AChen414,add,0,0,0,0,0,0,0,0
beggarsbanquet,add,0,7,0,48,0,0,29,19
SoIidarityGaming,add,0,0,0,0,0,0,0,0
artssec,add,0,14,0,870,0,0,781,89
palakP-addweb,add,0,5,0,80,0,0,58,22
fantasiesrejoice,add,0,2,0,0,0,0,0,0
hopelessromantic69,add,0,0,0,0,0,0,0,0
conghongjie,add,0,0,0,0,0,0,0,0
MRGonzalez1990,add,39,20,3686,50,3669,17,35,15
B4NH4MM3R,add,0,0,0,0,0,0,0,0
ornous,add,0,0,0,0,0,0,0,0
gc00,add,40,0,9606,0,5579,4027,0,0
hallowingdeaths,add,0,0,0,0,0,0,0,0
OMERKANN,add,2,0,97731,0,97731,0,0,0
grodasgomez,add,22,22,8667,4145,7340,1327,3638,507
URStill,add,0,0,0,0,0,0,0,0
stonerEbay,add,0,0,0,0,0,0,0,0
JeremiasMeister,add,245,85,13884,27951,7351,6533,18565,9386
Nags-081197,add,0,0,0,0,0,0,0,0
RedwoodSystem,add,0,0,0,0,0,0,0,0
ehennis,add,56,52,3169053,3167459,3169051,2,3167382,77
whiskyinthejar,add,0,0,0,0,0,0,0,0
naveen-chander,add,0,0,0,0,0,0,0,0
Diamondbrandblue,add,0,0,0,0,0,0,0,0
jamatarmusic,add,0,0,0,0,0,0,0,0
IGNCodeFoo,add,0,0,0,0,0,0,0,0
fortniting,add,0,0,0,0,0,0,0,0
FarhadHey96,add,0,0,0,0,0,0,0,0
sambetts,add,28,67,35695,113900,34312,1383,51030,62870
ReadBYI,add,0,0,0,0,0,0,0,0
CassandraJM,add,0,9,0,481534,0,0,481478,56
hademircii,add,0,0,0,0,0,0,0,0
deyaberger,add,0,0,0,0,0,0,0,0
EmanH5,add,806,232,123546,8847,123428,118,8148,699
ode2code95,add,36,25,1156,378,664,492,209,169
riser101,add,0,278,0,31657,0,0,23604,8053
edgeboyo,add,1,3,6,524,6,0,418,106
soupsoulis,add,0,0,0,0,0,0,0,0
amodalz,add,0,0,0,0,0,0,0,0
LinaDaPillowPony,add,0,0,0,0,0,0,0,0
skaggot,add,0,0,0,0,0,0,0,0
seIvaoscura,add,0,0,0,0,0,0,0,0
SmartPhilip,add,0,0,0,0,0,0,0,0
nf-core-bot,add,30,0,13308,0,13134,174,0,0
napolitanapi,add,0,0,0,0,0,0,0,0
wifirot,add,0,0,0,0,0,0,0,0
Agbeniyi,add,0,0,0,0,0,0,0,0
strebeer,add,0,0,0,0,0,0,0,0
profilybfb,add,0,0,0,0,0,0,0,0
AnimeBubsi,add,12,0,1409,0,1306,103,0,0
peachlipgloss,add,0,0,0,0,0,0,0,0
Naimey,add,0,0,0,0,0,0,0,0
kxknade777,add,0,0,0,0,0,0,0,0
Koshi-mouchi,add,3,10,23,109,23,0,51,58
jedunn,add,0,0,0,0,0,0,0,0
Sylvan-Flores,add,0,0,0,0,0,0,0,0
Machinaxflay,add,0,0,0,0,0,0,0,0
boredestry,add,0,0,0,0,0,0,0,0
prideduos,add,4,0,17,0,13,4,0,0
robohouse,add,0,0,0,0,0,0,0,0
d1rtymutt,add,0,0,0,0,0,0,0,0
AtmosphericCabbage,add,0,0,0,0,0,0,0,0
taktngel,add,0,7,0,53,0,0,31,22
WestfallAgent,add,0,0,0,0,0,0,0,0
FemmeEdgar,add,0,0,0,0,0,0,0,0
offlinedotcom,add,0,0,0,0,0,0,0,0
timhendriks93,add,39,30,12202,20845,7071,5131,11994,8851
mey-meix3,add,0,0,0,0,0,0,0,0
vebuos,add,0,0,0,0,0,0,0,0
ponytown-comm,add,0,0,0,0,0,0,0,0
autumnmorgue,add,0,0,0,0,0,0,0,0
destoncolonthree,add,7,2,18,30,14,4,18,12
XsCastle,add,0,0,0,0,0,0,0,0
notnoclipper,add,0,0,0,0,0,0,0,0
CharleneFriend,add,0,0,0,0,0,0,0,0
tweekedoutkid,add,0,0,0,0,0,0,0,0
n2wew,add,0,0,0,0,0,0,0,0
tld-update-bot,add,0,0,0,0,0,0,0,0
willyerl,add,0,0,0,0,0,0,0,0
hatsunekittyy,add,0,0,0,0,0,0,0,0
berinaslantas,add,0,0,0,0,0,0,0,0
Ilikegeodes,add,0,0,0,0,0,0,0,0
AddOneWR,add,1,0,914,0,596,318,0,0
addisonlynch,add,0,0,0,0,0,0,0,0
addempsea,add,2,0,29742,0,29742,0,0,0
addisonhuddy,add,0,1,0,314,0,0,236,78
